Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Neutral,Neutral,Neutral,Somewhat different,,Uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,,,,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,Don't know/not sure,Neutral,Neutral,Neutral,Don't know/not sure,Don't know/not sure,Male,,1954,"Bachelors (BA, BS, AB)",Moderate,"If these categories do not accurately reflect how you self-identify, use this box to write your response",American asian,Retired,,"Rarely
","$60,000-$80,000"
Agree,Neutral,Disagree,Somewhat similar,,Very uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Uncomfortable,,Don't know/not sure,,Don't know/not sure,,,,,,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Female,,1980,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,Never,"$80,000-$100,000"
Agree,Agree,Strongly disagree,Somewhat different,"Genetic modification seems to alter the whole set of genes. While gene editing is specific to certain location of gene. As in plants, maybe genes relating to their growth rate!

Gene drive I think is tailored to make the forthcoming generations inherit the altered genes. Although useful, I feel gene drive to be somewhat undesirable as it might make the native gene to disappear all in all.",Uncomfortable,"Again, I feel tomatoes that are not modified in any way, are the healthiest and safe to consume.",Uncomfortable,I don't think it's necessary.,Uncomfortable,Horns were part of a cow's natural selection. I don't think it is necessary.,Uncomfortable,I doubt the quality of milk produced by altering the genes. Maybe that can cause mutations in human population who consume it in the long run.,Uncomfortable,"Maybe nature could have found its own way to tackle the adversaries. Maybe I am don't understand the sciences involved. I have this strange feeling that such genetically modified wheat are not healthy to eat, and may cause undesirable effects to human beings. But, that's just might be my misunderstanding.",Uncomfortable,Changing the course of nature seems somewhat unethical to me. Why are we required to make such alterations?,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,Why not let the plants develop its own immunity against the pests. But that may not be possible I would reckon. Quite perpetual notion!,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,Vertical farming can be another technique. Saying gene edited crops help protect biodiversity can't be completely true I think. Infact some natural and native breed of crop might be extinct by modifying the genes too much.,Neutral,Neutral,Disagree,Agree,Don't know/not sure,Disagree,Agree,Don't know/not sure,Disagree,Strongly agree,Strongly disagree,Don't know/ not sure,Strongly agree,Agree,Strongly agree,Don't know/ not sure,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Don't know/not sure,Agree,Don't know/not sure,Neutral,"Strongly agree
",Agree,"Strongly agree
","Strongly agree
","Strongly agree
",Male,,1992,"Masters (MA, MS, MBA, Med)",Liberal,South Asian,,Other (add details here),Just had a day of orientation in a new job. The city closed non essential service on the day I was supposed to start training because of the unfortunate pandemic.,Never,"Less than $20,000"
Disagree,Strongly disagree,Strongly disagree,Don't know/not sure,,Very comfortable,,Very comfortable,,Very comfortable,,Very comfortable,,Comfortable,,Very comfortable,,Don't know/not sure,,"A large decrease in use of gene-edited crops, in exchange for a large loss of biodiversity
 ",,,,,,Strongly disagree,Strongly disagree,Don't know/not sure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Female,If these categories do not accurately reflect how you self-identify, use this space to write your response:","I don’t know
",2001,High school diploma or GED,Conservative,"Black,If these categories do not accurately reflect how you self-identify, use this box to write your response",I don’t know,"On vacation or sick leave from regular job,Going to school,Other (add details here)",School,Never,I prefer not to say
Neutral,Agree,Agree,Very different,,Comfortable,,Very comfortable,,Very comfortable,,Very comfortable,,Comfortable,,Very uncomfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Don't know/not sure,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,"Strongly agree
",Disagree,"Strongly agree
",Agree,Disagree,Agree,Neutral,Male,,1988,"Bachelors (BA, BS, AB)",Liberal,South Asian,,Working for pay,,Never,"$80,000-$100,000"
Agree,Neutral,Disagree,Somewhat similar,all of these things involve taking a natural organisms state and altering it genetically in some way,Uncomfortable,knowing that the taste of the tomato was altered along with the appearance freaks me out a bit ,Neither comfortable nor uncomfortable,the taste doesnt affect me as much as the appearance did,Very uncomfortable,animals are actual living beings so it scares me knowing that theyve genetically modified them,Neither comfortable nor uncomfortable,this doesnt change how i initially felt,Neither comfortable nor uncomfortable,i dont like that its genetically modified but we need wheat at all times,Very uncomfortable,because we can live without having blueberries during the off season,"No change: production of gene-edited crops and pesticide use stay the same
 ","I feel like since i dont know that much about this topic and i have made it this far without being harmed by whatever genes were modified and pesticidies have been used, i dont really care what happens",I prefer not to answer this question because I don't have information on who owns or controls these technologies,i dont know how these are being regulated and also sometimes biodiversity can be bad for some species ,,,,,Strongly agree,Disagree,Agree,Disagree,Don't know/not sure,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Female,,1997,"Bachelors (BA, BS, AB)",Moderate,South Asian,,Going to school,,Once or twice a month,"Less than $20,000"
Agree,Agree,Agree,Somewhat similar,I have some knowledge but definitely not as details as with the experts.,Comfortable,as long as it's healthy .,Comfortable,Same as previous,Neither comfortable nor uncomfortable,the lesser of the two evils.,Neither comfortable nor uncomfortable,same concept.,Comfortable,otherwise human food chains will be harmonized.,Comfortable,same as previous.,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",As long as it is not harmful to human consumption.,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",as previous.,,,,,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Male,,1950,Associates (2-year degree),Conservative,East Asian,,Retired,,Once a week,I prefer not to say
Agree,Don't know/ not sure,Don't know/ not sure,Somewhat similar,It makes up the gene,Neither comfortable nor uncomfortable,,Comfortable,,Comfortable,,Uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,,,,,"No change: production of gene-edited crops and pesticide use stay the same
 ",,"A small increase in production of gene-edited crops in exchange for small improvements to biodiversity
 ",,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Don't know/not sure,Female,,1958,"Some college, no degree",Conservative,White,,Working for pay,,Once or twice a month,"$40,000-$50,000"
Agree,Agree,Agree,Somewhat different,Each process has a specific task to accomplish a certain goal. ,Very comfortable,I would be very comfortable with this process as long as it is safe to eat. ,Neither comfortable nor uncomfortable,,Uncomfortable,No animal should be subjected to any type of pain and it seems cruel to alter their true appearance. ,Neither comfortable nor uncomfortable,If it was for a good cause such as stopping a milk shortage in the world it could be an acceptable application.  ,Comfortable,Climate change is destroying so much within our world. Our farmers are losing their crops and wheat is an important source of food worldwide. It would have a devastating effect to all countries if wheat was not produced. ,Comfortable,I would be comfortable with this application as long as it was safe for human consumption. ,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,Don't know/not sure,,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Don't know/ not sure,Agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Don't know/not sure,Neutral,Agree,Agree,"Strongly agree
",Female,,1953,Associates (2-year degree),Moderate,White,,Retired,,Never,"Greater than $100,000"
Agree,Neutral,Don't know/ not sure,Somewhat different,"The objective is somewhat similar, but varies from general to specific.",Neither comfortable nor uncomfortable,"I'm old enough to remember how tomatoes used to taste, and what taste has now been lost.
I worry about how altering our foods could affect human evolution.",Uncomfortable,Why not just eat a tomato and a sugar beet at the same time ?,Neither comfortable nor uncomfortable,Are humans next ?,Don't know/not sure,,Neither comfortable nor uncomfortable,We need food to survive.,Uncomfortable,Will the taste stay the same ?,Don't know/not sure,Population growth and food production will necessitate a trade-off.,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Don't know/not sure,Disagree,Disagree,Don't know/not sure,Neutral,Disagree,Agree,Neutral,Neutral,Strongly agree,Neutral,Don't know/ not sure,Agree,Agree,Agree,Disagree,Neutral,Don't know/not sure,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Don't know/not sure,Don't know/not sure,Neutral,Agree,Neutral,Agree,Male,,1952,High school diploma or GED,Moderate,White,,Retired,,Never,I prefer not to say
Agree,Neutral,Disagree,Neither similar nor different,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Neutral,Disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Don't know/ not sure,Disagree,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Don't know/not sure,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Don't know/not sure,Don't know/not sure,Agree,Neutral,Don't know/not sure,Neutral,Don't know/not sure,Female,,1978,High school diploma or GED,Very liberal,White,,Other (add details here),unemployed and not currently looking for work,Never,I prefer not to say
Agree,Disagree,Strongly disagree,Somewhat different,,Very comfortable,,Very comfortable,,Very comfortable,,Very comfortable,,Very comfortable,,Very comfortable,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly disagree,"Strongly agree
","Strongly agree
",Don't know/not sure,"Strongly agree
",Don't know/not sure,Disagree,"Strongly agree
",Female,,1958,"Doctorate (PhD or EdD) or Professional (MD, JD, DVM, DDS)",Moderate,White,,Other (add details here),volunteer,"Rarely
","Less than $20,000"
